Index,detectorType,descriptorType,ttcLidar,ttcCamera,Difference
4,BRISK,SIFT,16.6894,18.1289,-1.43954
5,BRISK,SIFT,15.7465,35.743,-19.9965
6,BRISK,SIFT,12.6778,14.206,-1.52813
7,BRISK,SIFT,13.1197,16.7101,-3.59044
8,BRISK,SIFT,12.0825,19.1326,-7.05014
9,BRISK,SIFT,13.0241,15.7995,-2.77536
10,BRISK,SIFT,11.1746,13.8178,-2.64314
11,BRISK,SIFT,12.8086,12.2442,0.564448
12,BRISK,SIFT,8.95978,13.2939,-4.33412
13,BRISK,SIFT,9.96439,12.6708,-2.70639
14,BRISK,SIFT,9.59863,10.7044,-1.10574
15,BRISK,SIFT,8.52157,13.2084,-4.68683
16,BRISK,SIFT,9.51552,10.2251,-0.709563
17,BRISK,SIFT,9.61241,10.7686,-1.15617
18,BRISK,SIFT,8.45094,13.6244,-5.17344
1,ORB,BRISK,12.3214,17.4836,-5.16214
2,ORB,BRISK,12.7144,15.5366,-2.82216
3,ORB,BRISK,14.2179,19.1784,-4.96046
4,ORB,BRISK,16.6894,21.3012,-4.61183
5,ORB,BRISK,15.7465,73.2489,-57.5023
6,ORB,BRISK,12.6778,12.5602,0.117611
7,ORB,BRISK,13.1197,17.36,-4.24028
8,ORB,BRISK,12.0825,11.1,0.982474
9,ORB,BRISK,13.0241,11.9786,1.04555
10,ORB,BRISK,11.1746,13.3046,-2.12995
11,ORB,BRISK,12.8086,8.49484,4.31376
12,ORB,BRISK,8.95978,427.443,-418.483
13,ORB,BRISK,9.96439,8.33753,1.62686
14,ORB,BRISK,9.59863,9.26013,0.338501
15,ORB,BRISK,8.52157,8.85869,-0.337123
16,ORB,BRISK,9.51552,9.37082,0.144706
17,ORB,BRISK,9.61241,14.3156,-4.70323
18,ORB,BRISK,8.45094,18.5799,-10.129
1,ORB,BRIEF,12.3214,16.4808,-4.15937
2,ORB,BRIEF,12.7144,16.9496,-4.2352
3,ORB,BRIEF,14.2179,30.925,-16.7071
4,ORB,BRIEF,16.6894,25.2172,-8.52777
5,ORB,BRIEF,15.7465,25.3525,-9.60591
6,ORB,BRIEF,12.6778,18.2578,-5.57996
7,ORB,BRIEF,13.1197,39.9996,-26.8799
8,ORB,BRIEF,12.0825,31.8478,-19.7653
9,ORB,BRIEF,13.0241,223.467,-210.442
10,ORB,BRIEF,11.1746,11.5325,-0.357833
11,ORB,BRIEF,12.8086,10.4394,2.3692
12,ORB,BRIEF,8.95978,16.4491,-7.48932
13,ORB,BRIEF,9.96439,10.7998,-0.835383
14,ORB,BRIEF,9.59863,8.40597,1.19266
15,ORB,BRIEF,8.52157,10.4365,-1.91494
16,ORB,BRIEF,9.51552,13.4955,-3.97997
17,ORB,BRIEF,9.61241,18.7607,-9.14827
18,ORB,BRIEF,8.45094,13.275,-4.82402
1,ORB,ORB,12.3214,24.7809,-12.4595
2,ORB,ORB,12.7144,10.126,2.58843
3,ORB,ORB,14.2179,18.5308,-4.31281
4,ORB,ORB,16.6894,26.6829,-9.99349
5,ORB,ORB,15.7465,25.7254,-9.97885
6,ORB,ORB,12.6778,10.7829,1.89492
7,ORB,ORB,13.1197,36.3987,-23.279
8,ORB,ORB,12.0825,10.911,1.17152
9,ORB,ORB,13.0241,18.651,-5.62688
10,ORB,ORB,11.1746,16.6469,-5.4723
11,ORB,ORB,12.8086,8.48098,4.32762
12,ORB,ORB,8.95978,30.9371,-21.9773
13,ORB,ORB,9.96439,9.4542,0.510188
14,ORB,ORB,9.59863,9.52775,0.0708794
15,ORB,ORB,8.52157,12.9444,-4.42283
16,ORB,ORB,9.51552,9.61341,-0.0978871
17,ORB,ORB,9.61241,25.3838,-15.7713
18,ORB,ORB,8.45094,21.8102,-13.3592
1,ORB,FREAK,12.3214,11.7196,0.60183
2,ORB,FREAK,12.7144,25.2016,-12.4871
3,ORB,FREAK,14.2179,17.5368,-3.31883
4,ORB,FREAK,16.6894,11.2797,5.40971
5,ORB,FREAK,15.7465,52.139,-36.3924
6,ORB,FREAK,12.6778,34.2874,-21.6095
7,ORB,FREAK,13.1197,127.591,-114.471
8,ORB,FREAK,12.0825,9.36116,2.72134
9,ORB,FREAK,13.0241,13.3202,-0.296033
10,ORB,FREAK,11.1746,-545.044,556.218
11,ORB,FREAK,12.8086,8.40781,4.40079
12,ORB,FREAK,8.95978,#NAME?,inf
13,ORB,FREAK,9.96439,7.03048,2.93391
14,ORB,FREAK,9.59863,55.7876,-46.189
15,ORB,FREAK,8.52157,8.72363,-0.20206
16,ORB,FREAK,9.51552,11.1021,-1.58654
17,ORB,FREAK,9.61241,186.726,-177.114
18,ORB,FREAK,8.45094,24.1855,-15.7346
1,ORB,SIFT,12.3214,16.7817,-4.46023
2,ORB,SIFT,12.7144,11.2445,1.46998
3,ORB,SIFT,14.2179,19.2067,-4.98872
4,ORB,SIFT,16.6894,#NAME?,inf
5,ORB,SIFT,15.7465,60.7059,-44.9593
6,ORB,SIFT,12.6778,15.1309,-2.45307
7,ORB,SIFT,13.1197,41.7177,-28.598
8,ORB,SIFT,12.0825,10.8638,1.21868
9,ORB,SIFT,13.0241,12.2889,0.735265
10,ORB,SIFT,11.1746,11.1031,0.0715128
11,ORB,SIFT,12.8086,9.20223,3.60637
12,ORB,SIFT,8.95978,#NAME?,inf
13,ORB,SIFT,9.96439,9.46076,0.503633
14,ORB,SIFT,9.59863,18.5566,-8.95793
15,ORB,SIFT,8.52157,13.6989,-5.17737
16,ORB,SIFT,9.51552,9.98441,-0.468881
17,ORB,SIFT,9.61241,18.7334,-9.12094
18,ORB,SIFT,8.45094,15.175,-6.72404
1,AKAZE,BRISK,12.3214,12.2825,0.0389591
2,AKAZE,BRISK,12.7144,14.7592,-2.0447
3,AKAZE,BRISK,14.2179,13.4572,0.760796
4,AKAZE,BRISK,16.6894,14.2508,2.43861
5,AKAZE,BRISK,15.7465,14.1235,1.62308
6,AKAZE,BRISK,12.6778,15.0884,-2.41053
7,AKAZE,BRISK,13.1197,16.2013,-3.08156
8,AKAZE,BRISK,12.0825,14.3942,-2.31166
9,AKAZE,BRISK,13.0241,13.9664,-0.942249
10,AKAZE,BRISK,11.1746,11.4787,-0.304106
11,AKAZE,BRISK,12.8086,12.6562,0.152352
12,AKAZE,BRISK,8.95978,11.2959,-2.3361
13,AKAZE,BRISK,9.96439,10.4433,-0.478893
14,AKAZE,BRISK,9.59863,10.5446,-0.946008
15,AKAZE,BRISK,8.52157,10.0003,-1.47875
16,AKAZE,BRISK,9.51552,9.9926,-0.477075
17,AKAZE,BRISK,9.61241,9.44134,0.171075
18,AKAZE,BRISK,8.45094,8.98139,-0.530452
1,AKAZE,BRIEF,12.3214,13.3774,-1.05601
2,AKAZE,BRIEF,12.7144,15.1976,-2.48312
3,AKAZE,BRIEF,14.2179,13.1393,1.07867
4,AKAZE,BRIEF,16.6894,14.5957,2.09369
5,AKAZE,BRIEF,15.7465,15.5955,0.151074
6,AKAZE,BRIEF,12.6778,13.6406,-0.962761
7,AKAZE,BRIEF,13.1197,15.7392,-2.61952
8,AKAZE,BRIEF,12.0825,14.4599,-2.3774
9,AKAZE,BRIEF,13.0241,14.1136,-1.08953
10,AKAZE,BRIEF,11.1746,11.8953,-0.720637
11,AKAZE,BRIEF,12.8086,13.0259,-0.217345
12,AKAZE,BRIEF,8.95978,12.1682,-3.20846
13,AKAZE,BRIEF,9.96439,10.2485,-0.28414
14,AKAZE,BRIEF,9.59863,10.1261,-0.527432
15,AKAZE,BRIEF,8.52157,9.14934,-0.627777
16,AKAZE,BRIEF,9.51552,10.1458,-0.630276
17,AKAZE,BRIEF,9.61241,9.53868,0.0737299
18,AKAZE,BRIEF,8.45094,8.84252,-0.39158
1,AKAZE,ORB,12.3214,13.2771,-0.955655
2,AKAZE,ORB,12.7144,14.5743,-1.85981
3,AKAZE,ORB,14.2179,13.2589,0.959027
4,AKAZE,ORB,16.6894,14.3818,2.30758
5,AKAZE,ORB,15.7465,15.9471,-0.200554
6,AKAZE,ORB,12.6778,14.146,-1.46815
7,AKAZE,ORB,13.1197,15.8057,-2.68598
